window	Freq	mean_discordant_reads_blacklist
1_38881000_+	1	1
1_38884000_+	1	1
1_38888000_-	1	1
1_38898000_+	2	1
1_38902000_-	2	1
1_38905000_+	2	1
1_38909000_+	1	1
1_38924000_+	1	1
1_38955000_-	2	1
1_38956000_-	1	1
1_38975000_-	2	1
1_38979000_-	1	1
1_39001000_-	2	1
1_39009000_+	1	1
1_39067000_-	1	1
1_39069000_+	1	1
1_39071000_-	1	1
1_39074000_+	2	1
1_39077000_-	1	1
1_39091000_+	1	1
1_39098000_+	2	1
1_39111000_-	1	1
1_39120000_-	1	1
1_39130000_-	2	1
1_39168000_+	2	1
1_39172000_-	1	1
1_39175000_-	2	1
1_39190000_-	1	1
1_39203000_-	2	1
1_39209000_-	2	1
1_39214000_+	1	1
1_39228000_+	1	1
1_39229000_+	2	1
1_39238000_-	2	1
1_39244000_+	2	1
1_39284000_+	1	1
1_39288000_+	1	1
1_39290000_+	1	1
1_39293000_+	2	1
1_39299000_-	2	1
1_39313000_-	1	1
1_39327000_-	1	2
1_39345000_-	1	1
1_39355000_-	1	1
1_39356000_+	1	1
1_39376000_-	1	1
1_39381000_-	1	1
1_39409000_-	2	1
1_39412000_+	2	1
1_39424000_+	1	1
1_39429000_-	1	1
1_39439000_+	1	1
1_39451000_+	1	1
1_39459000_-	1	1
1_39465000_-	2	1
1_39479000_-	1	1
1_39481000_-	2	1
1_39484000_-	1	1
1_39507000_-	2	1
1_39508000_-	2	1
1_39536000_-	2	1
1_39546000_-	2	1
1_39636000_+	1	1
1_39639000_-	1	1
1_39693000_-	1	1
1_39753000_+	1	1
1_39762000_-	2	1
1_39772000_+	1	1
1_39781000_-	1	1
1_39788000_+	2	1
1_39811000_+	1	1
1_39830000_-	2	1
1_39837000_-	2	1
1_39840000_-	2	1
1_39859000_-	2	1
1_39861000_-	1	1
1_39861000_+	1	1
1_39894000_+	1	1
1_39920000_-	1	1
1_39942000_+	1	1
1_39943000_+	1	1
1_39946000_-	1	1
1_39947000_+	1	1
1_3995000_+	2	1
1_39963000_+	2	1
1_39966000_-	2	1
1_39992000_+	1	1
1_40015000_-	1	1
1_40019000_-	1	1
1_40049000_+	1	1
1_40064000_+	2	1
1_40080000_-	2	1
1_40084000_+	1	1
1_40091000_+	1	1
1_40126000_+	2	1
1_40129000_-	1	1
1_4014000_+	1	1
1_40149000_+	1	1
1_40155000_-	1	1
1_40155000_+	2	1
1_4016000_-	1	1
1_40166000_+	1	1
1_40207000_+	2	1
1_40222000_+	1	1
1_4023000_-	2	1
1_40261000_-	1	1
1_40284000_+	1	1
1_40296000_+	2	1
1_40300000_+	2	1
1_40332000_-	1	1
1_40341000_-	2	1
1_40342000_-	2	1
1_40388000_-	1	1
1_40391000_-	2	1
1_40392000_+	2	1
1_40393000_-	1	1
1_40402000_-	2	1
1_40425000_-	1	2
1_40480000_-	1	1
1_40486000_-	1	1
1_4052000_-	1	1
1_40538000_-	1	1
1_4054000_-	2	1
1_40557000_-	2	1
1_40561000_-	1	1
1_40568000_+	1	1
1_40592000_-	2	1
1_40606000_-	2	1
1_4061000_-	1	1
1_4063000_+	1	1
1_40633000_+	1	1
1_40638000_-	1	1
1_40645000_+	1	1
1_40654000_-	1	1
1_40665000_-	2	1
1_40682000_+	2	1
1_40690000_-	2	1
1_40692000_+	1	1
1_40710000_-	1	1
1_40714000_-	2	1
1_40733000_-	2	1
1_40737000_-	2	1
1_40746000_+	1	1
1_40747000_-	1	1
1_40754000_-	1	1
1_40769000_+	1	1
1_40774000_+	1	1
1_40775000_+	2	1
1_4079000_-	1	1
1_40803000_+	1	1
1_40811000_+	2	1
1_40812000_+	1	1
1_40818000_+	1	1
1_40842000_-	1	1
1_40849000_-	2	1
1_40849000_+	2	1
1_40852000_-	1	1
1_40876000_+	1	1
1_40879000_-	2	1
1_40894000_-	1	1
1_40898000_+	2	1
1_4090000_-	1	1
1_40909000_-	1	1
1_40926000_+	2	1
1_40929000_-	1	1
1_40934000_+	1	1
1_40946000_-	2	1
1_40951000_+	1	1
1_40978000_+	1	1
1_40980000_+	2	1
1_40995000_-	1	1
1_40996000_-	2	1
1_40998000_-	1	1
1_41066000_-	2	1
1_4107000_-	1	1
1_41104000_+	1	1
1_41106000_+	2	1
1_41116000_+	1	1
1_41117000_+	1	2
1_41123000_+	2	1
1_41142000_+	1	1
1_41146000_-	1	1
1_41153000_-	1	2
1_4117000_+	2	1
1_41171000_-	3	1
1_41185000_+	1	1
1_41189000_+	2	1
1_41192000_-	2	1
1_41198000_-	1	1
1_41211000_+	1	1
1_41226000_+	2	1
1_41227000_-	2	1
1_41230000_+	1	1
1_41252000_+	2	1
1_41256000_+	1	1
1_41258000_-	2	1
1_4127000_+	1	1
1_41284000_+	1	1
1_41290000_+	1	1
1_41294000_+	1	1
1_41295000_+	1	1
1_41297000_-	1	1
1_41299000_-	1	2
1_41306000_+	1	1
1_41322000_+	2	1
1_41351000_-	1	1
1_41361000_+	2	1
1_41362000_+	1	1
1_41369000_+	2	1
1_41380000_-	1	1
1_41387000_+	1	1
1_4145000_+	2	1
1_41452000_+	3	1
1_41467000_+	2	1
1_41487000_-	1	1
1_41493000_+	1	1
1_41495000_+	2	1
1_41498000_-	1	1
1_41500000_+	2	1
1_41503000_+	1	1
1_41507000_-	4	1
1_41511000_+	2	1
1_41515000_+	1	1
1_41526000_-	1	1
1_41529000_+	2	1
1_4157000_-	1	1
1_41574000_-	1	1
1_41576000_+	1	1
1_4158000_-	1	1
1_4158000_+	1	1
1_41585000_-	2	1
1_41595000_+	1	1
1_41600000_-	1	2
1_41604000_-	1	1
1_41640000_+	1	1
1_41652000_-	2	1
1_41671000_+	1	1
1_41674000_-	2	1
1_41691000_-	1	1
1_41712000_+	1	1
1_41718000_+	2	1
1_41747000_-	2	1
1_41792000_-	1	1
1_41803000_-	1	1
1_41804000_+	1	1
1_41809000_+	1	1
1_4182000_+	2	1
1_41827000_+	2	1
1_41837000_-	1	1
1_41839000_-	2	1
1_41855000_-	1	1
1_41878000_-	2	1
1_41896000_+	1	1
1_41897000_-	2	1
1_41926000_+	2	1
1_41927000_-	1	1
1_41938000_+	1	1
1_4195000_+	1	1
1_41960000_-	1	1
1_41984000_-	1	1
1_41991000_+	3	1
1_41992000_-	10	1
1_41992000_+	57	1.2280701754386
1_41993000_-	3	1
1_41993000_+	2	1
1_41994000_-	2	1
1_41994000_+	3	1
1_4200000_-	1	1
1_42007000_+	1	1
1_4202000_-	1	1
1_4202000_+	2	1
1_42024000_-	1	1
1_42048000_+	1	1
1_42055000_-	2	1
1_42060000_+	2	1
1_42061000_+	2	1
1_42068000_-	2	1
1_4207000_-	1	1
1_42077000_-	2	1
1_42134000_-	1	1
1_42144000_-	1	1
1_42162000_+	1	1
1_42176000_-	1	1
1_42231000_+	1	1
1_42237000_+	2	1
1_42249000_+	1	1
1_42255000_+	1	2
1_42273000_+	1	1
1_42303000_-	1	1
1_42314000_-	2	1
1_42318000_-	1	1
1_42330000_-	2	1
1_42331000_-	1	1
1_42344000_-	1	1
1_42349000_-	1	1
1_4235000_-	1	1
1_42370000_-	1	1
1_42370000_+	1	1
1_42377000_-	1	1
1_4239000_-	1	1
1_42400000_-	2	1
1_42414000_-	1	1
1_42424000_-	1	1
1_42426000_-	2	1
1_42433000_-	1	1
1_42486000_-	1	1
1_42487000_+	1	1
1_42494000_-	1	1
1_42501000_+	1	1
1_42505000_-	1	1
1_4255000_-	1	1
1_42551000_+	1	1
1_42583000_+	2	1
1_42594000_-	1	1
1_4261000_-	1	1
1_42636000_+	2	2
1_42644000_+	1	1
1_42668000_+	1	1
1_42673000_-	2	1
1_42676000_-	1	1
1_42680000_+	1	1
1_42692000_-	2	1
1_4273000_+	1	1
1_42757000_-	1	1
1_42768000_-	1	1
1_42783000_+	2	1
1_42828000_-	1	1
1_4284000_+	1	1
1_42842000_-	1	1
1_42846000_+	1	1
1_42855000_-	1	1
1_42872000_+	2	1
1_42877000_-	1	1
1_42880000_+	2	1
1_42884000_-	1	1
1_4291000_-	1	1
1_42914000_+	2	1
1_42931000_-	1	1
1_42982000_-	1	1
1_42991000_-	1	1
1_43006000_-	2	1
1_43012000_-	1	1
1_43031000_+	1	1
1_43046000_+	2	1
1_43052000_-	2	1
1_43060000_-	1	1
1_43061000_-	1	1
1_43064000_+	1	1
1_43072000_-	1	2
1_43111000_-	1	1
1_43121000_-	2	1
1_43165000_+	1	1
1_43176000_+	1	1
1_43201000_-	1	1
1_43203000_-	1	1
1_43203000_+	2	1
1_43218000_-	2	1
1_43219000_-	3	1
1_43225000_-	1	1
1_43238000_-	1	1
1_43242000_-	1	1
1_43245000_+	1	1
1_43260000_-	2	1
1_43263000_-	2	1
1_43297000_-	1	1
1_43330000_-	1	1
1_43334000_+	2	1
1_43347000_-	1	1
1_43367000_-	1	1
1_43423000_-	1	1
1_43425000_-	2	1
1_43440000_+	2	1
1_43442000_+	1	1
1_43448000_+	1	1
1_43465000_+	1	1
1_43490000_+	1	2
1_43492000_-	2	1
1_4351000_-	1	2
1_43511000_+	2	1
1_43514000_-	1	1
1_43516000_+	2	1
1_43540000_+	1	1
1_43553000_-	2	1
1_43554000_+	1	1
1_43574000_+	1	1
1_43577000_-	2	1
1_43590000_-	1	1
1_43607000_+	2	1
1_43611000_+	1	1
1_43614000_+	1	1
1_43624000_-	2	1
1_4364000_-	1	1
1_43640000_+	1	1
1_43651000_+	1	1
1_43672000_-	1	1
1_43764000_+	2	1
1_43765000_+	1	1
1_4377000_+	1	1
1_43801000_-	1	1
1_43812000_+	1	1
1_4382000_-	2	1
1_43842000_+	2	1
1_43851000_+	1	1
1_43883000_-	1	1
1_43888000_+	2	1
1_43889000_-	2	1
1_43922000_-	1	1
1_43944000_-	1	1
1_43958000_+	2	1
1_43988000_+	1	1
1_43992000_-	1	1
1_43996000_+	1	1
1_44006000_+	1	1
1_44017000_-	2	1
1_44020000_+	1	1
1_44032000_-	1	1
1_44034000_-	2	1
1_44045000_-	1	1
1_4406000_-	1	1
1_44072000_+	2	1
1_44075000_+	1	1
1_44089000_-	1	1
1_44103000_-	1	1
1_44104000_-	2	1
1_44113000_-	1	1
1_44122000_+	2	1
1_44147000_-	2	1
1_44159000_+	1	1
1_44166000_-	2	1
1_44176000_+	1	1
1_44182000_+	1	1
1_44210000_-	1	1
1_44217000_-	1	2
1_44219000_+	1	1
1_44233000_-	1	1
1_44236000_-	1	1
1_4427000_-	1	1
1_44293000_+	1	1
1_44303000_-	1	1
1_44317000_+	1	1
1_44336000_+	1	1
1_44380000_+	1	1
1_44382000_+	1	1
1_44392000_-	1	1
1_44393000_+	1	1
1_44413000_-	2	1
1_44435000_-	2	1
1_44450000_-	1	1
1_44451000_+	1	1
1_44457000_-	2	1
1_44469000_+	2	1
1_44478000_+	2	1
1_44482000_-	2	1
1_44484000_-	1	1
1_4449000_-	2	1
1_44494000_+	1	1
1_44501000_-	2	1
1_44518000_-	1	1
1_44525000_+	1	1
1_44548000_-	2	1
1_44560000_-	1	1
1_44563000_-	1	1
1_44618000_+	1	1
1_44630000_+	1	1
1_44682000_+	1	1
1_44709000_+	1	1
1_44720000_-	1	1
1_44733000_+	1	1
1_44759000_+	1	2
1_4476000_+	1	1
1_44764000_+	2	1
1_44767000_+	1	1
1_44778000_-	1	1
1_44780000_+	1	1
1_44786000_-	2	1
1_44787000_+	1	1
1_44793000_-	1	1
1_44819000_-	1	1
1_44840000_+	1	1
1_44846000_-	1	1
1_44848000_-	3	1
1_44863000_-	1	1
1_44883000_+	1	1
1_44884000_-	1	1
1_44892000_-	1	1
1_44894000_-	2	2
1_44935000_-	4	1
1_45008000_-	1	1
1_45013000_+	1	1
1_45036000_+	1	1
1_45049000_-	1	1
1_45071000_-	1	1
1_4508000_+	1	1
1_45083000_+	1	1
1_4510000_+	2	1
1_45100000_-	1	1
1_45106000_+	2	1
1_45114000_+	1	1
1_45121000_+	2	1
1_45135000_-	2	1
1_45141000_-	1	1
1_45161000_+	1	1
1_45168000_-	1	1
1_45175000_+	1	1
1_45177000_+	2	1
1_45182000_+	1	1
1_45201000_+	1	1
1_45209000_+	1	1
1_45215000_+	1	1
1_45244000_-	1	1
1_45269000_+	2	1
1_4527000_-	1	1
1_45277000_-	1	1
1_45278000_-	1	1
1_4528000_-	2	1
1_45283000_+	1	1
1_45287000_+	1	1
1_4529000_+	2	1
1_45304000_+	1	1
1_45334000_+	1	1
1_45339000_+	1	1
1_45352000_-	1	1
1_45354000_+	1	1
1_45368000_+	1	1
1_45406000_+	2	1
1_45407000_-	2	1
1_45428000_+	2	1
1_45452000_+	1	1
1_45454000_-	2	1
1_45460000_-	2	1
1_45468000_-	1	1
1_45478000_-	1	1
1_45478000_+	1	1
1_45502000_-	1	1
1_45507000_-	2	1
1_45514000_+	1	1
1_45515000_+	1	1
1_45523000_-	1	1
1_4557000_-	2	1
1_4557000_+	2	1
1_45571000_+	1	1
1_45577000_+	1	1
1_45632000_+	1	1
1_45668000_-	1	1
1_45669000_+	1	1
1_45672000_-	2	1
1_45677000_+	1	1
1_45683000_-	2	1
1_45706000_+	2	1
1_45708000_+	1	1
1_45709000_+	1	1
1_45713000_-	1	1
1_4574000_+	1	1
1_4576000_-	1	1
1_45778000_+	2	1
1_4579000_-	2	1
1_45791000_-	1	1
1_45793000_-	1	1
1_45816000_+	1	1
1_45823000_-	1	1
1_45841000_-	2	1
1_45860000_+	1	1
1_45864000_-	2	1
1_45876000_-	1	1
1_45885000_-	1	1
1_45902000_-	2	1
1_45905000_+	1	1
1_45910000_+	1	1
1_45914000_+	1	1
1_45931000_+	1	1
1_45936000_+	2	1
1_45941000_+	1	1
1_45954000_-	2	1
1_45955000_+	1	1
1_45981000_-	2	1
1_45985000_+	1	1
1_45990000_+	2	1
1_46033000_+	1	1
1_46041000_+	2	1
1_46054000_+	2	1
1_46064000_-	1	1
1_46072000_-	1	1
1_46078000_+	1	1
1_46097000_-	2	1
1_46117000_-	2	1
1_46118000_+	1	1
1_46128000_-	2	1
1_46133000_-	2	1
1_46152000_-	2	1
1_46160000_-	1	1
1_46181000_+	2	1
1_46203000_-	2	1
1_46263000_+	1	1
1_46270000_+	2	1
1_46282000_+	1	1
1_46291000_-	1	1
1_46296000_-	1	1
1_46300000_-	1	1
1_46388000_-	1	1
1_46394000_+	1	1
1_46397000_-	1	1
1_4640000_-	1	1
1_46406000_+	2	1
1_46422000_+	2	1
1_46426000_+	1	1
1_46457000_+	1	1
1_46470000_-	2	1
1_46471000_-	1	1
1_46473000_+	1	1
1_46485000_-	1	1
1_46486000_-	1	1
1_46492000_+	1	1
1_46506000_+	2	2
1_46523000_-	1	1
1_46564000_+	2	1
1_46566000_+	1	1
1_46588000_+	2	1
1_46594000_-	1	1
1_46597000_-	1	1
1_46603000_+	1	1
1_46629000_+	1	1
1_46640000_+	1	1
1_46648000_-	2	1
1_46649000_-	2	1
1_46658000_+	1	1
1_46672000_+	1	1
1_46678000_-	1	1
1_46682000_-	2	1
1_46693000_-	1	1
1_4670000_+	2	1
1_46710000_+	1	1
1_46732000_+	2	1
1_46745000_-	2	1
1_46751000_+	1	1
1_46774000_+	1	1
1_46778000_-	1	2
1_46790000_+	1	1
1_4681000_+	1	1
1_46813000_-	2	1
1_46821000_+	1	1
1_46828000_-	2	1
1_46892000_-	1	1
1_46904000_-	1	1
1_46905000_+	3	1
1_46906000_+	1	1
1_46959000_+	2	1
1_4699000_+	1	1
1_47004000_+	1	1
1_47005000_+	1	1
1_47017000_-	1	1
1_47035000_+	1	1
1_47056000_+	2	1
1_47101000_-	1	1
1_47111000_+	2	1
1_47130000_-	1	1
1_47133000_-	1	1
1_4717000_+	1	1
1_47174000_+	1	1
1_47196000_+	1	1
1_47237000_+	1	1
1_47246000_+	1	1
1_47276000_-	2	1
1_47295000_-	2	1
1_47337000_-	2	1
1_47370000_-	2	1
1_47399000_-	2	1
1_47409000_+	1	1
1_4742000_-	1	1
1_47440000_-	1	1
1_4745000_+	2	1
1_47467000_+	1	1
1_47479000_+	2	1
1_47486000_+	1	1
1_47501000_+	2	1
1_47563000_-	1	1
1_4759000_-	1	1
1_47645000_-	1	1
1_47655000_+	2	1
1_47669000_+	2	1
1_47676000_-	1	1
1_47704000_-	2	1
1_47708000_+	2	1
1_47753000_-	1	1
1_4778000_+	2	1
1_47780000_-	2	1
1_4779000_+	1	1
1_47807000_-	1	1
1_47807000_+	1	1
1_47825000_-	1	1
1_47826000_-	2	1
1_47840000_+	1	1
1_47866000_+	1	1
1_47891000_-	2	1
1_47891000_+	1	1
1_47906000_+	2	1
1_47907000_-	1	1
1_47912000_+	1	1
1_47923000_+	2	1
1_47930000_+	2	1
1_47940000_-	2	1
1_47941000_+	2	1
1_47968000_-	1	1
1_47976000_-	2	1
1_47997000_-	1	1
1_48004000_-	1	1
1_48032000_+	1	1
1_48042000_+	2	1
1_48044000_+	1	1
1_48061000_-	2	1
1_4807000_+	2	1
1_48074000_+	1	1
1_48084000_-	1	1
1_48103000_+	1	1
1_48118000_-	2	1
1_48126000_+	2	1
1_48131000_-	1	1
1_48141000_-	1	1
1_48162000_-	3	1
1_48166000_+	2	1
1_48173000_+	2	1
1_48177000_+	1	1
1_48180000_-	1	1
1_48187000_-	1	1
1_48190000_+	1	1
1_4821000_-	2	1
1_48231000_+	1	1
1_48236000_-	1	1
1_48264000_+	1	1
1_48279000_+	1	1
1_48318000_+	1	1
1_48324000_+	2	1
1_48345000_-	2	1
1_48361000_+	1	1
1_48377000_+	2	1
1_48391000_+	1	1
1_48416000_+	1	1
1_48431000_-	2	1
1_48442000_-	1	1
1_48450000_-	2	1
1_48450000_+	1	1
1_48457000_-	2	1
1_48460000_+	1	1
1_48492000_-	2	1
1_48500000_-	1	1
1_48506000_-	2	1
1_48525000_+	3	1
1_48532000_+	2	1
1_48541000_+	1	1
1_48545000_+	1	1
1_48563000_-	1	1
1_48576000_+	1	1
1_48579000_-	1	1
1_48588000_-	1	1
1_48589000_-	1	1
1_48610000_-	1	1
1_48632000_+	1	1
1_48659000_+	2	1
1_48666000_-	1	1
1_48685000_+	1	1
1_48688000_-	1	1
1_48690000_+	1	1
1_48694000_-	1	1
1_48705000_-	1	1
1_48706000_-	1	1
1_48731000_+	1	1
1_4878000_+	1	1
1_48812000_-	1	1
1_48813000_-	1	1
1_4883000_+	1	1
1_48862000_-	2	1
1_48880000_-	1	1
1_4890000_-	2	1
1_48902000_-	1	1
1_48905000_+	2	1
1_48914000_+	2	1
1_48951000_+	2	1
1_49020000_+	1	1
1_49054000_-	1	1
1_49066000_+	1	1
1_49083000_-	1	1
1_49099000_-	1	1
1_4911000_-	1	1
1_49113000_+	1	1
1_49127000_+	2	1
1_49130000_-	1	1
1_49132000_-	2	1
1_49145000_+	1	1
1_49156000_-	1	1
1_49194000_-	2	1
1_49199000_-	2	1
1_49211000_-	2	1
1_49211000_+	2	1
1_49251000_+	2	1
1_49269000_-	1	1
1_49280000_-	1	1
1_49290000_-	2	1
1_49295000_+	1	1
1_49340000_-	2	1
1_49343000_-	1	1
1_49350000_-	2	1
1_49351000_+	2	1
1_49359000_+	2	1
1_49364000_+	2	1
1_49365000_+	1	1
1_49370000_+	2	1
1_49373000_+	1	1
1_4938000_-	1	1
1_49406000_+	1	1
1_49417000_+	1	1
1_49423000_+	2	1
1_49424000_-	2	1
1_49425000_+	1	1
1_4943000_-	1	1
1_4945000_+	2	1
1_49461000_+	1	1
1_4948000_+	2	1
1_49481000_-	1	1
1_49549000_-	1	1
1_49553000_+	1	1
1_49569000_-	2	1
1_49602000_-	1	1
1_49623000_+	1	1
1_49627000_-	2	1
1_4965000_+	1	1
1_49650000_-	1	1
1_49654000_-	1	1
1_49700000_+	1	1
1_49735000_-	2	1
1_49760000_-	2	1
1_49763000_+	1	1
1_49797000_-	1	1
1_49808000_-	1	1
1_4981000_+	1	1
1_49820000_+	1	1
1_49832000_-	1	1
1_49860000_+	2	1
1_49878000_+	2	1
1_49893000_-	2	1
1_49896000_+	2	1
1_49914000_-	1	1
1_49917000_+	2	1
1_49927000_-	2	1
1_49931000_-	2	1
1_49938000_-	2	1
1_49952000_-	1	1
1_49964000_-	1	1
1_49965000_+	1	1
1_49984000_-	1	1
1_50007000_+	2	1
1_50015000_+	1	1
1_50017000_-	2	1
1_50026000_+	1	1
1_50039000_+	1	1
1_5005000_-	1	1
1_5005000_+	2	1
1_50053000_-	2	1
1_50068000_+	2	1
1_50082000_-	1	1
1_50092000_-	1	1
1_50111000_-	2	1
1_50126000_-	1	1
1_50161000_-	2	1
1_50183000_-	1	1
1_50196000_+	1	1
1_50203000_-	2	1
1_50210000_-	2	1
1_50218000_+	1	1
1_50233000_+	1	1
1_50282000_-	1	1
1_50282000_+	1	1
1_50296000_-	1	1
1_50302000_-	1	1
1_50304000_-	1	1
1_5036000_+	1	1
1_50370000_-	1	1
1_50371000_+	1	1
1_50377000_-	2	1
1_50387000_-	1	1
1_50389000_-	1	1
1_50398000_-	1	1
1_5040000_+	1	1
1_50403000_+	1	1
1_50417000_-	2	1
1_50419000_-	2	1
1_50438000_-	2	1
1_50449000_-	4	1
1_50451000_+	2	1
1_50478000_-	1	1
1_50489000_+	2	1
1_50506000_+	1	1
1_50508000_+	1	1
1_50520000_-	1	1
1_50522000_-	2	1
1_50529000_+	2	1
1_50535000_-	1	1
1_50546000_-	1	1
1_5057000_-	2	1
1_50578000_+	1	1
1_50609000_+	1	1
1_50612000_-	1	1
1_50637000_+	1	1
1_50648000_+	1	1
1_50663000_+	1	1
1_50674000_-	2	1
1_50680000_+	2	1
1_50694000_+	1	1
1_50713000_-	1	1
1_50724000_-	2	1
1_50735000_+	1	1
1_50764000_+	1	1
1_50805000_-	1	1
1_50809000_-	2	1
1_50844000_-	1	1
1_50899000_-	1	1
1_50899000_+	2	1
1_50912000_-	2	1
1_5092000_+	1	1
1_50955000_-	1	1
1_50957000_-	2	1
1_5098000_+	2	1
1_50996000_+	1	1
1_51001000_-	1	1
1_51004000_-	1	1
1_51011000_+	2	1
1_51012000_+	1	1
1_51013000_-	2	1
1_51023000_+	1	1
1_51045000_+	2	1
1_51051000_+	1	1
1_51088000_+	1	1
1_51096000_-	3	1
1_51100000_-	1	1
1_51125000_-	2	1
1_51128000_-	2	1
1_51155000_+	1	1
1_51163000_+	1	2
1_51200000_-	2	1
1_51206000_-	2	1
1_51228000_-	1	1
1_51244000_+	2	1
1_5126000_+	1	1
1_51265000_+	1	1
1_51274000_-	2	1
1_51279000_+	1	1
1_51301000_+	2	1
1_51315000_-	1	1
1_51320000_-	1	1
1_51340000_-	1	1
1_51341000_+	2	1
1_51358000_-	1	1
1_51382000_-	1	1
1_51396000_-	1	1
1_51402000_+	1	1
1_51406000_-	2	1
1_51415000_+	1	1
1_51453000_-	2	1
1_51503000_-	1	1
1_51529000_+	1	1
1_51532000_-	1	1
1_51555000_-	1	1
1_5156000_-	1	1
1_51571000_-	1	1
1_51582000_+	1	1
1_5161000_-	1	1
1_51623000_+	1	1
1_51624000_+	1	1
1_51637000_-	1	1
1_51684000_+	1	1
1_51686000_-	1	1
1_51743000_+	1	1
1_51754000_+	1	1
1_51759000_-	1	1
1_51784000_-	2	1
1_51791000_+	2	1
1_51794000_+	2	1
1_51797000_-	1	1
1_51804000_+	1	1
1_51837000_-	2	1
1_51849000_+	1	1
1_51860000_-	2	1
1_51870000_-	1	1
1_51882000_+	1	1
1_51883000_-	1	1
1_51889000_-	2	1
1_51906000_-	1	1
1_51932000_+	1	1
1_51947000_+	1	1
1_51948000_+	1	1
1_51967000_+	1	1
1_5197000_-	1	1
1_51977000_-	1	1
1_51985000_+	2	2
1_52013000_-	1	1
1_52028000_-	2	1
1_52029000_+	2	1
1_5205000_+	1	1
1_52064000_+	2	1
1_52077000_-	2	1
1_52092000_-	1	2
1_52103000_-	1	1
1_52115000_+	1	1
1_52136000_+	1	1
1_52140000_-	1	1
1_52161000_+	2	1
1_52182000_+	1	1
1_52189000_-	1	1
1_52201000_-	1	1
1_52202000_+	2	1
1_5221000_-	1	1
1_52234000_-	1	1
1_52246000_+	1	1
1_5225000_-	2	1
1_52260000_-	2	1
1_52272000_+	1	1
1_52284000_-	2	1
1_52291000_+	2	1
1_52303000_-	1	1
1_52304000_+	2	1
1_52331000_+	1	1
1_52332000_+	1	1
1_52388000_+	1	1
1_52420000_+	1	1
1_52421000_+	1	1
1_52431000_-	2	1
1_52458000_-	1	1
1_52491000_+	1	1
1_52501000_-	2	1
1_52505000_+	1	1
1_52544000_-	2	1
1_52547000_+	1	1
1_52565000_+	1	1
1_52615000_+	1	1
1_52623000_-	1	1
1_52644000_-	2	1
1_52672000_-	1	1
1_52677000_+	1	1
1_52679000_-	1	1
1_52702000_-	1	1
1_52705000_-	1	1
1_52716000_-	1	1
1_5272000_-	2	1
1_52742000_-	1	1
1_52742000_+	1	1
1_5276000_-	1	1
1_52770000_+	2	1
1_52828000_-	1	1
1_52845000_+	2	1
1_52855000_+	2	1
1_52866000_+	1	1
1_52890000_-	1	1
1_52898000_+	2	1
1_52965000_-	1	1
1_52973000_-	1	1
1_53000000_-	1	1
1_53012000_+	2	1
1_53018000_+	1	1
1_53029000_-	1	1
1_53045000_-	1	1
1_53048000_-	1	1
1_53055000_-	1	1
1_53069000_+	1	1
1_53070000_-	1	1
1_53079000_+	2	1
1_53087000_+	2	1
1_53093000_+	1	1
1_53101000_-	1	1
1_53103000_+	1	1
1_53109000_+	1	1
1_53142000_+	1	1
1_53143000_+	1	1
1_53173000_-	2	1
1_53179000_-	2	1
1_53223000_+	2	1
1_53236000_+	1	1
1_53240000_+	2	1
1_53244000_+	2	1
1_5330000_-	2	1
1_53312000_+	2	1
1_53317000_+	1	1
1_53326000_-	1	1
1_5333000_-	1	1
1_53333000_-	2	1
1_53337000_+	2	1
1_53344000_-	1	1
1_5335000_-	1	1
1_53351000_+	1	1
1_53354000_-	1	1
1_53364000_+	1	1
1_53393000_+	2	1
1_53396000_+	2	1
1_53410000_-	1	1
1_5342000_-	1	1
1_53448000_+	1	1
1_53492000_+	1	1
1_53497000_-	2	1
1_53497000_+	1	1
1_53530000_-	1	1
1_53531000_+	1	1
1_53567000_+	1	1
1_53575000_-	2	1
1_53578000_+	1	1
1_53579000_-	1	1
1_53585000_-	2	1
1_53603000_-	2	1
1_53608000_-	1	1
1_53619000_-	1	1
1_53637000_-	2	1
1_5366000_-	1	1
1_53682000_+	2	1
1_53692000_-	1	1
1_53693000_+	2	1
1_53719000_-	2	1
1_53732000_-	2	1
1_53754000_+	2	2
1_53780000_-	1	1
1_53818000_-	1	1
1_53824000_-	2	1
1_53830000_-	2	1
1_53838000_+	1	1
1_53849000_+	1	1
1_53874000_-	2	1
1_53874000_+	1	1
1_53909000_-	1	1
1_53925000_+	2	1
1_53933000_+	2	1
1_53939000_+	2	1
1_53940000_+	2	1
1_5395000_-	1	1
1_53950000_+	2	1
1_53975000_+	2	1
1_53985000_+	2	1
1_53987000_-	2	1
1_5399000_-	1	1
1_53994000_+	1	1
1_53997000_+	2	1
1_54025000_+	1	1
1_54027000_-	1	1
1_54075000_+	2	1
1_54097000_-	2	1
1_54098000_+	1	1
1_54113000_-	1	1
1_54132000_-	1	1
1_54142000_+	1	1
1_54152000_-	1	1
1_54175000_-	2	1
1_54195000_-	1	1
1_5420000_-	1	1
1_54213000_-	1	1
1_54213000_+	2	1
1_5424000_+	1	1
1_54261000_-	1	1
1_54273000_-	1	1
1_54295000_+	1	2
1_54298000_-	1	1
1_54302000_-	1	1
1_54314000_-	1	1
1_54323000_-	1	1
1_54344000_-	1	1
1_54354000_+	1	1
1_54357000_-	2	1
1_5436000_+	1	1
1_54361000_+	1	1
1_54383000_+	1	1
1_54407000_+	2	1
